Course,Section,Year,Students,Day,Start,End,Room,Instructor,InstructorQualified,TimeslotIsPreferred
AID414,4_AI_1,4,92,Sunday,09:00:00,10:30:00,Hall,Dr. graduation AID,True,False
AID411,4_AI_1,4,92,Sunday,10:45:00,12:15:00,Hall,Prof. Marghany Hassan,True,False
AID412,4_AI_1,4,92,Sunday,12:30:00,14:00:00,Hall,Dr. Ahmed Bayumi,True,False
AID413,4_AI_1,4,92,Sunday,14:15:00,15:45:00,Hall,Dr. Ahmed Arafa,True,False
AID321,4_AI_1,4,92,Monday,09:00:00,10:30:00,Hall,Prof. Marghany Hassan,True,False
AID417,4_AI_1,4,92,Monday,10:45:00,12:15:00,Hall,Dr. Mohamed Issa,True,False
CNC311,3_AI_1,3,92,Sunday,09:00:00,10:30:00,Theater,Prof. Samir Ahmed,True,False
AID312,3_AI_1,3,92,Sunday,10:45:00,12:15:00,Theater,Dr. Ahmed Bayumi,True,False
AID311,3_AI_1,3,92,Sunday,12:30:00,14:00:00,Theater,Dr. Ahmed Anter,True,False
CNC314,3_AI_1,3,92,Sunday,14:15:00,15:45:00,Theater,Dr. Mohamed Issa,True,False
CSC317,3_AI_1,3,92,Monday,09:00:00,10:30:00,Theater,Dr. Hataba,True,False
CNC415,4_CNC_1,4,90,Sunday,09:00:00,10:30:00,G-21,Dr. Mustafa AlSayed,True,False
CNC414,4_CNC_1,4,90,Sunday,10:45:00,12:15:00,G-21,Dr. graduation CNC,True,False
CNC419,4_CNC_1,4,90,Sunday,12:30:00,14:00:00,G-21,Dr. Hataba,True,False
CNC411,4_CNC_1,4,90,Sunday,14:15:00,15:45:00,G-21,Eng. Mariam Ismael,True,False
CNC413,4_CNC_1,4,90,Monday,09:00:00,10:30:00,G-21,Prof. Samir Ahmed,True,False
CNC324,4_CNC_1,4,90,Monday,10:45:00,12:15:00,Theater,Prof. Samir Ahmed,True,False
CNC312,3_CNC_1,3,83,Sunday,09:00:00,10:30:00,F1-19,Dr. Reda,True,False
CNC311,3_CNC_1,3,83,Sunday,10:45:00,12:15:00,F1-19,Prof. Samir Ahmed,True,False
AID312,3_CNC_1,3,83,Sunday,12:30:00,14:00:00,F1-19,Eng. Salma Waleed,True,False
CNC314,3_CNC_1,3,83,Sunday,14:15:00,15:45:00,F1-19,Eng. Salma Alashry,True,False
CSC317,3_CNC_1,3,83,Monday,09:00:00,10:30:00,F1-19,Dr. Reda,True,False
ACM215,2_1,2,73,Sunday,09:00:00,10:30:00,F1.01,Dr. Ayman Arafa,True,False
MTH212,2_1,2,73,Sunday,10:45:00,12:15:00,F1.01,Dr. Karim Hamed,True,False
LRA306,2_1,2,73,Sunday,12:30:00,14:00:00,F1.01,Prof. Said Sadik,True,False
LRA403,2_1,2,73,Sunday,14:15:00,15:45:00,F1.01,Dr. Kenji Tanaka,True,False
CNC111,2_1,2,73,Monday,09:00:00,10:30:00,F1.01,Dr. Nadia Fawzy,True,False
CSC211,2_1,2,73,Monday,10:45:00,12:15:00,F1.01,Dr. Ahmed Arafa,True,False
CSE214,2_1,2,73,Monday,12:30:00,14:00:00,F1.01,Prof. Mostafa Soliman,True,False
ACM215,2_2,2,71,Sunday,10:45:00,12:15:00,G.01,Dr. Ayman Arafa,True,False
MTH212,2_2,2,71,Sunday,09:00:00,10:30:00,G.01,Dr. Karim Hamed,True,False
LRA306,2_2,2,71,Sunday,14:15:00,15:45:00,G.01,Prof. Said Sadik,True,False
LRA403,2_2,2,71,Sunday,12:30:00,14:00:00,G.01,Dr. Kenji Tanaka,True,False
CNC111,2_2,2,71,Monday,09:00:00,10:30:00,G.01,Eng. Menna Hamdi,True,False
CSC211,2_2,2,71,Monday,10:45:00,12:15:00,G.01,Eng. Menna Magdy,True,False
CSE214,2_2,2,71,Monday,12:30:00,14:00:00,G.01,Eng. Omnya Ramadan,True,False
LRA101,1_4,1,70,Sunday,09:00:00,10:30:00,F1.10,Dr. Sherine Elmotasem,True,False
MTH111,1_4,1,70,Sunday,12:30:00,14:00:00,F1.10,Dr. Ayman Arafa,True,False
LRA104,1_4,1,70,Sunday,10:45:00,12:15:00,F1.10,Prof. Adel Al-senn,True,False
PHY113,1_4,1,70,Sunday,14:15:00,15:45:00,F1.10,Dr. Adel Fathy,True,False
LRA401,1_4,1,70,Monday,09:00:00,10:30:00,F1.10,Dr. Kenji Tanaka,True,False
CSC111,1_4,1,70,Monday,10:45:00,12:15:00,F1.10,Dr. Reda Elbasiony,True,False
ECE111,1_4,1,70,Monday,12:30:00,14:00:00,F1.10,Prof. Ahmed Allam,True,False
LRA101,1_1,1,68,Sunday,10:45:00,12:15:00,G.41,Dr. Sherine Elmotasem,True,False
MTH111,1_1,1,68,Sunday,14:15:00,15:45:00,G.41,Dr. Ayman Arafa,True,False
LRA104,1_1,1,68,Sunday,09:00:00,10:30:00,G.41,Prof. Adel Al-senn,True,False
